@relation unbalanced

@attribute WBN_GC_L_0.25 numeric
@attribute WBN_GC_H_0.25 numeric
@attribute WBN_GC_L_0.50 numeric
@attribute WBN_GC_H_0.50 numeric
@attribute WBN_GC_L_0.75 numeric
@attribute WBN_GC_H_0.75 numeric
@attribute WBN_GC_L_1.00 numeric
@attribute WBN_GC_H_1.00 numeric
@attribute WBN_EN_L_0.25 numeric
@attribute WBN_EN_H_0.25 numeric
@attribute WBN_EN_L_0.50 numeric
@attribute WBN_EN_H_0.50 numeric
@attribute WBN_EN_L_0.75 numeric
@attribute WBN_EN_H_0.75 numeric
@attribute WBN_EN_L_1.00 numeric
@attribute WBN_EN_H_1.00 numeric
@attribute WBN_LP_L_0.25 numeric
@attribute WBN_LP_H_0.25 numeric
@attribute WBN_LP_L_0.50 numeric
@attribute WBN_LP_H_0.50 numeric
@attribute WBN_LP_L_0.75 numeric
@attribute WBN_LP_H_0.75 numeric
@attribute WBN_LP_L_1.00 numeric
@attribute WBN_LP_H_1.00 numeric
@attribute XLogP numeric
@attribute PSA numeric
@attribute NumRot numeric
@attribute NumHBA numeric
@attribute NumHBD numeric
@attribute MW numeric
@attribute BBB numeric
@attribute BadGroup numeric
@attribute Outcome {Active,Inactive}

@data
-2.4042,1.5993,-2.5393,2.3618,-2.8639,3.2567,-3.6685,4.183,-0.867,1.3417,-1.7648,2.1689,-2.6741,3.0847,-3.5886,4.0245,-0.9579,1.1762,-1.7748,2.1082,-2.6654,3.0552,-3.574,4.0077,4,88.02,13,7,1,496.604,0,0,Inactive
-2.399,1.5985,-2.5271,2.3572,-2.8639,3.2496,-3.6685,4.1739,-0.867,1.3409,-1.7649,2.166,-2.6741,3.0797,-3.5886,4.0175,-0.9579,1.1759,-1.7748,2.1063,-2.6654,3.0516,-3.5741,4.0022,3.349,78.79,9,6,1,424.497,0,0,Inactive
-2.3864,2.2056,-2.527,2.5322,-2.8648,3.2627,-3.6705,4.1843,-0.8671,2.4014,-1.765,2.6731,-2.6745,3.1483,-3.5892,4.0422,-0.9579,1.1769,-1.775,2.1096,-2.6659,3.0573,-3.5748,4.0105,4.568,60.77,8,5,0,462.468,1,0,Inactive
-2.3864,1.5957,-2.527,2.3544,-2.8649,3.2474,-3.6706,4.1721,-0.8671,1.3493,-1.7649,2.1779,-2.6743,3.0924,-3.5889,4.0307,-0.9579,1.1752,-1.7748,2.105,-2.6656,3.0506,-3.5743,4.0018,2.112,89.79,7,6,0,451.527,0,0,Inactive
-2.3987,1.4827,-2.5267,2.072,-2.7641,2.8543,-3.238,3.6894,-0.7922,1.26,-1.5941,1.9714,-2.4004,2.7864,-3.2091,3.6329,-0.9221,1.1211,-1.6165,1.9591,-2.3714,2.8129,-3.1543,3.6735,4.965,71.53,6,5,1,455.558,0,0,Inactive
-2.4163,1.8809,-2.5386,2.3453,-2.7869,3.0726,-3.4849,3.9264,-0.8384,1.2387,-1.7036,2.0081,-2.5769,2.8846,-3.4535,3.7819,-0.8832,1.1089,-1.6867,1.9887,-2.5478,2.8895,-3.4203,3.7954,4.253,51.66,6,4,0,342.439,1,0,Inactive
-1.5765,1.1917,-1.9841,1.996,-2.7676,2.8778,-3.5902,3.775,-0.7952,2.3347,-1.6186,2.4628,-2.4583,3.014,-3.3072,3.8944,-1.0285,1.1402,-1.8014,1.9998,-2.6288,2.89,-3.4744,3.7913,5.767,61.17,2,4,0,468.572,1,1,Inactive
-2.2755,1.8184,-2.3961,2.4257,-2.8672,3.3022,-3.6612,4.2258,-0.7646,1.4112,-1.5718,2.3109,-2.4483,3.2636,-3.3339,4.2291,-0.9876,1.337,-1.7983,2.2197,-2.6635,3.1667,-3.5444,4.1288,4.364,119.66,11,3,0,463.65,0,1,Inactive
-2.2755,1.8184,-2.3961,2.3412,-2.8518,3.2052,-3.6847,4.1155,-0.8345,1.3757,-1.714,2.218,-2.6117,3.1302,-3.5175,4.0629,-0.9944,1.1654,-1.8191,2.0813,-2.7027,3.0167,-3.6037,3.9594,4.931,115.59,12,5,1,488.009,0,1,Inactive
-2.1951,1.9476,-2.4907,2.4988,-3.0269,3.2574,-3.7492,4.1189,-0.8584,1.3192,-1.744,2.1177,-2.6399,3.0077,-3.5406,3.9235,-0.8663,1.1536,-1.6932,2.0714,-2.5828,3.0006,-3.4837,3.9332,4.157,50.44,3,2,1,244.29,1,1,Inactive
-2.3834,1.5685,-2.5263,2.2937,-2.8096,3.0951,-3.5039,3.9493,-0.7899,2.3348,-1.5995,2.4732,-2.4222,3.245,-3.2566,4.1272,-1.0798,1.1065,-1.9081,1.9704,-2.755,2.8635,-3.6108,3.7676,4.224,94.27,7,7,2,510.587,0,0,Inactive
-2.4011,1.5504,-2.5347,2.2443,-2.798,3.0675,-3.5664,3.936,-0.8064,1.3647,-1.6278,2.1506,-2.4595,3.0018,-3.2998,3.8786,-1.0392,1.0556,-1.8354,1.9177,-2.6768,2.8064,-3.5297,3.7044,3.731,95.96,6,7,1,460.53,0,0,Inactive
-2.3987,1.8608,-2.5272,2.3188,-2.7699,2.9862,-3.2592,3.7529,-0.785,1.291,-1.5762,2.0148,-2.3699,2.8142,-3.1653,3.639,-0.9783,1.0787,-1.7085,1.8849,-2.4919,2.7086,-3.2836,3.5416,2.741,93.5,7,6,0,414.527,0,1,Inactive
-2.3205,2.4071,-2.5852,2.8268,-3.0432,3.5577,-3.7024,4.4314,-0.8605,2.4014,-1.7608,2.6756,-2.6724,3.1693,-3.5885,4.0296,-0.9525,1.1195,-1.8156,2.0452,-2.7188,2.991,-3.6321,3.9427,6.034,62.91,6,4,1,461.48,1,0,Inactive
-2.3205,2.4071,-2.5852,2.8271,-3.0432,3.5588,-3.7024,4.4334,-0.8605,2.4014,-1.7608,2.6758,-2.6724,3.1713,-3.5885,4.0331,-0.9525,1.12,-1.8156,2.0469,-2.7188,2.9939,-3.6321,3.9466,6.787,62.91,6,4,1,489.534,1,0,Inactive
-2.3358,2.3812,-2.6039,2.7436,-3.0694,3.418,-3.7466,4.3073,-0.8703,2.4014,-1.7773,2.6752,-2.6943,3.1693,-3.6154,4.0366,-0.9079,1.174,-1.7679,2.1035,-2.6779,3.0564,-3.5973,4.0149,6.452,53.68,8,3,1,453.888,1,1,Inactive
-2.3205,2.4071,-2.5852,2.8271,-3.0434,3.5588,-3.7029,4.4334,-0.8605,2.4014,-1.7609,2.6759,-2.6725,3.1722,-3.5886,4.0343,-0.9526,1.119,-1.8157,2.0458,-2.719,2.9927,-3.6322,3.9454,5.069,66.15,7,5,1,490.522,1,0,Inactive
-2.3919,1.5277,-2.5138,2.1471,-2.7529,2.9605,-3.2553,3.8088,-0.8001,1.2662,-1.6128,1.9798,-2.43,2.798,-3.2492,3.6514,-0.8829,1.1252,-1.6356,1.9545,-2.4294,2.8079,-3.2378,3.6729,4.233,70.08,7,6,1,468.553,0,0,Inactive
-2.3358,2.3811,-2.6039,2.7432,-3.0694,3.4162,-3.7466,4.3043,-0.8703,2.4013,-1.7773,2.6748,-2.6943,3.1667,-3.6154,4.0325,-0.9079,1.1727,-1.7679,2.101,-2.678,3.0529,-3.5973,4.0104,4.89,53.68,4,3,1,397.78,1,1,Inactive
-2.3205,2.4071,-2.5852,2.8271,-3.0433,3.5587,-3.7027,4.4331,-0.8605,2.4015,-1.7609,2.6759,-2.6725,3.1718,-3.5886,4.0337,-0.9525,1.1231,-1.8156,2.0484,-2.7189,2.9949,-3.6322,3.9473,4.303,81.37,11,6,1,495.494,0,0,Inactive
-1.5633,1.5405,-1.8862,2.1518,-2.4227,2.885,-3.1357,3.6651,-0.7715,1.2602,-1.5508,1.9513,-2.3339,2.7306,-3.1189,3.5382,-0.9613,1.1049,-1.6746,1.8984,-2.4061,2.7037,-3.1444,3.5167,2.368,129.46,2,6,2,384.457,0,1,Inactive
-2.3987,1.2868,-2.5265,2.0156,-2.7616,2.9007,-3.5065,3.799,-0.7892,1.5361,-1.5967,2.3708,-2.4192,3.2345,-3.2538,4.1138,-1.0798,1.1283,-1.9079,1.9809,-2.7546,2.8626,-3.6102,3.7572,5.206,75.81,5,5,2,446.572,0,0,Inactive
-1.5602,1.793,-1.8827,2.4987,-2.4052,3.2988,-3.1719,4.141,-0.8325,1.2276,-1.6735,1.9772,-2.5173,2.8344,-3.3625,3.7171,-1.0999,1.0856,-1.8147,1.9343,-2.6037,2.8078,-3.4152,3.6919,-1.161,181.62,1,10,6,442.424,0,0,Inactive
-2.254,1.7847,-2.3862,2.2156,-2.7133,2.8736,-3.4285,3.6766,-0.8275,1.5508,-1.6576,2.2119,-2.4884,2.8935,-3.3197,3.6336,-1.0497,1.4322,-1.6329,1.9815,-2.3923,2.7908,-3.1994,3.6461,4.57,99.13,6,9,1,457.479,0,1,Inactive
-2.4008,2.6616,-2.5301,3.0992,-2.7916,3.7479,-3.2505,4.4972,-0.783,1.3675,-1.5797,2.1187,-2.3821,2.9509,-3.1877,3.8141,-1.0349,1.1299,-1.7821,1.9655,-2.5676,2.8251,-3.3637,3.6982,4.892,75.52,7,7,1,520.633,0,1,Inactive
-1.6024,1.9799,-1.9349,2.369,-2.4209,2.8817,-3.0038,3.4632,-0.6575,1.2116,-1.3346,1.8043,-2.022,2.4916,-2.715,3.2178,-0.9207,0.8715,-1.5696,1.5668,-2.252,2.2992,-2.9436,3.0432,4.74,71.44,4,4,1,388.548,0,1,Inactive
-2.4003,1.7463,-2.5298,2.3724,-2.7913,3.1426,-3.26,3.9661,-0.8024,1.2604,-1.6122,1.9813,-2.4249,2.8045,-3.239,3.6599,-0.9586,1.1202,-1.657,1.9495,-2.4331,2.7996,-3.2248,3.6614,4.024,76.07,6,6,1,409.482,0,1,Inactive
-2.0805,1.7946,-2.2334,2.2593,-2.5813,2.9617,-3.1244,3.7375,-0.7774,1.3858,-1.5599,2.1026,-2.344,2.8836,-3.1287,3.6899,-0.8219,1.15,-1.4906,1.9391,-2.2038,2.7552,-2.9432,3.5813,5.978,77.32,5,6,0,419.275,0,1,Inactive
-2.3987,2.4071,-2.5852,2.8271,-3.0431,3.5588,-3.7022,4.4332,-0.8605,2.4014,-1.7608,2.6757,-2.6724,3.1702,-3.5885,4.0308,-0.9525,1.1131,-1.8156,2.0414,-2.7189,2.9878,-3.6321,3.9397,5.048,72.14,6,5,1,463.452,0,0,Inactive
-2.2536,2.2248,-2.3765,2.5491,-2.6307,3.0305,-3.0893,3.6493,-0.7633,1.2773,-1.5275,1.949,-2.2921,2.687,-3.0568,3.4508,-0.9333,1.1014,-1.5861,1.8838,-2.2715,2.672,-2.9636,3.4638,3.137,165.92,20,11,4,548.681,0,3,Inactive
-2.3987,2.2037,-2.5269,2.5301,-2.765,3.118,-3.2235,3.9131,-0.7988,2.4015,-1.6073,2.6735,-2.4208,3.0988,-3.2368,3.7689,-0.96,1.1133,-1.7163,1.9473,-2.5121,2.8061,-3.3183,3.6772,4.574,90.93,10,7,1,557.565,0,1,Inactive
-1.5135,1.9802,-1.8609,2.3982,-2.3867,3.1542,-3.0776,3.9822,-0.7962,2.3347,-1.6028,2.4632,-2.4136,2.9582,-3.2268,3.7743,-0.958,1.4342,-1.6556,2.0551,-2.4303,2.8689,-3.2203,3.7267,4.172,111.98,9,9,2,456.426,0,2,Inactive
-2.3806,1.5223,-2.6605,2.3847,-3.1326,3.3036,-3.801,4.2436,-0.8639,1.343,-1.7665,2.1957,-2.6798,3.1336,-3.5974,4.0922,-0.8937,1.3144,-1.7572,2.1949,-2.6649,3.1443,-3.5814,4.1079,5.792,68.26,3,2,1,362.429,1,0,Inactive
-2.3205,2.4071,-2.5852,2.8268,-3.0433,3.558,-3.7028,4.432,-0.8605,2.4014,-1.7609,2.6757,-2.6725,3.171,-3.5886,4.0325,-0.9525,1.1229,-1.8156,2.0479,-2.7189,2.9941,-3.6322,3.9463,4.326,66.15,5,5,1,462.468,1,0,Inactive
-2.3205,2.4071,-2.5851,2.8265,-3.043,3.557,-3.7022,4.4303,-0.8605,2.4014,-1.7609,2.6753,-2.6725,3.1678,-3.5886,4.0271,-0.9525,1.1345,-1.8156,2.0455,-2.7189,2.9896,-3.6322,3.9401,5.453,62.91,7,4,1,486.284,1,2,Inactive
-2.3987,2.4071,-2.5852,2.8273,-3.0431,3.5594,-3.7022,4.4342,-0.8605,2.4014,-1.7608,2.6758,-2.6724,3.1711,-3.5885,4.0322,-0.9525,1.1138,-1.8156,2.0423,-2.7189,2.9891,-3.6321,3.9414,5.88,72.14,10,5,1,493.522,0,0,Inactive
-2.4077,1.4399,-2.5338,2.1727,-2.8044,3.0207,-3.5694,3.888,-0.7903,1.3642,-1.6125,2.1481,-2.453,2.9957,-3.3032,3.867,-1.0464,1.0578,-1.8472,1.8688,-2.6943,2.7281,-3.5525,3.6095,1.13,105.21,3,6,2,351.406,0,1,Inactive
-2.4163,1.1457,-2.5386,1.8478,-2.7703,2.627,-3.2075,3.4194,-0.7748,1.0916,-1.5554,1.6876,-2.3379,2.4698,-3.1212,3.2688,-1.0128,1.06,-1.5403,1.8447,-2.2275,2.6407,-2.9824,3.4409,4.902,32.7,10,3,1,333.516,1,0,Inactive
-2.1945,1.9229,-2.4903,2.4819,-3.0281,3.2516,-3.751,4.1134,-0.8497,1.32,-1.7309,2.12,-2.6239,3.0084,-3.5223,3.9212,-0.8719,1.1474,-1.6985,2.062,-2.5846,2.9874,-3.4827,3.9163,3.199,50.44,0,2,1,216.236,1,0,Inactive
-2.3205,2.4071,-2.5852,2.8278,-3.0432,3.5618,-3.7024,4.4393,-0.8605,2.4015,-1.7608,2.6766,-2.6724,3.1787,-3.5885,4.0469,-0.9525,1.1626,-1.8156,2.0757,-2.7188,3.0219,-3.6321,3.9768,5.815,66.15,7,5,1,524.539,0,0,Inactive
-2.3987,1.4728,-2.5266,2.1316,-2.7636,3.0123,-3.3753,3.9201,-0.7613,1.3124,-1.5578,2.1213,-2.3743,3.0143,-3.1993,3.9273,-0.9295,1.1473,-1.6728,2.0249,-2.4731,2.9379,-3.2916,3.8587,4.534,90.04,9,5,0,467.639,0,0,Inactive
-2.3358,2.3812,-2.6039,2.7443,-3.0701,3.4249,-3.7533,4.3234,-0.888,2.4014,-1.7976,2.6762,-2.7172,3.1836,-3.6411,4.0707,-0.9079,1.2251,-1.7689,2.1703,-2.6807,3.1334,-3.6023,4.1033,6.054,62.91,4,4,1,483.486,1,0,Inactive
-2.3205,2.4071,-2.5852,2.8267,-3.0432,3.5573,-3.7025,4.4308,-0.8605,2.4014,-1.7608,2.6755,-2.6724,3.1686,-3.5885,4.0282,-0.9525,1.1199,-1.8156,2.0448,-2.7189,2.9903,-3.6321,3.9415,5.618,62.91,5,4,1,447.453,1,0,Inactive
-2.3825,2.2243,-2.5111,2.5789,-2.781,3.21,-3.2859,4.0229,-0.7944,2.402,-1.6023,2.676,-2.4154,3.1313,-3.231,3.873,-0.8724,1.4342,-1.6039,2.0542,-2.3816,2.8826,-3.1823,3.7586,5.564,84.94,7,9,1,517.391,0,2,Inactive
-2.1281,1.5677,-2.2618,2.2813,-2.7545,3.1236,-3.5593,4.0177,-0.8675,1.4136,-1.7361,2.1836,-2.605,3.0602,-3.4743,3.9701,-1.0386,1.2195,-1.8316,2.1399,-2.6695,3.0697,-3.5193,4.0045,8.407,107.95,4,4,2,492.623,0,0,Inactive
-2.3865,1.7228,-2.6016,2.2799,-3.0294,3.0551,-3.5924,3.9107,-0.806,1.2538,-1.6185,2.0199,-2.4337,2.8897,-3.2503,3.7825,-0.8633,1.1551,-1.536,2.0478,-2.3027,2.9498,-3.0897,3.8549,5.153,60.7,7,4,1,393.483,1,0,Inactive
-2.3987,2.3813,-2.604,2.7451,-3.0692,3.4257,-3.7453,4.3177,-0.8702,2.4014,-1.7771,2.6755,-2.6941,3.1715,-3.6151,4.0404,-0.9084,1.1484,-1.7697,2.0902,-2.6802,3.0466,-3.5999,4.0072,6.011,62.91,6,4,1,461.48,1,0,Inactive
-2.3205,2.4071,-2.5851,2.8267,-3.0431,3.5574,-3.7022,4.4309,-0.8605,2.4014,-1.7609,2.6754,-2.6725,3.1684,-3.5886,4.028,-0.9525,1.1349,-1.8156,2.0462,-2.7189,2.9905,-3.6322,3.9412,5.957,62.91,8,4,1,500.311,0,2,Inactive
-2.2653,2.3924,-2.3826,2.8458,-2.6161,3.4233,-3.0766,4.0831,-0.7762,2.4014,-1.5653,2.673,-2.3593,3.0954,-3.1557,3.7557,-1.039,1.1332,-1.6742,1.9517,-2.3728,2.7954,-3.1017,3.6535,4.375,138.76,10,7,3,489.903,0,2,Inactive
-1.4641,1.5004,-1.9321,2.142,-2.7394,2.997,-3.5678,3.9037,-0.8793,1.5388,-1.7643,2.3728,-2.6516,3.2318,-3.5401,4.1062,-1.0781,1.2162,-1.9018,2.1352,-2.7403,3.0611,-3.5847,3.9903,4.492,83.14,5,6,0,460.555,0,1,Inactive
-2.3189,2.407,-2.5824,2.8253,-3.0363,3.5502,-3.6883,4.4154,-0.8541,2.4013,-1.7498,2.6742,-2.6571,3.1553,-3.5691,3.9987,-0.9519,1.1127,-1.8109,2.0283,-2.7097,2.9643,-3.6186,3.9063,4.058,59.67,3,3,1,322.238,1,0,Inactive
-2.3605,1.2934,-2.6292,2.125,-3.044,3.0426,-3.6068,3.9788,-0.7939,1.5214,-1.6306,2.2293,-2.4882,3.1159,-3.3555,4.0448,-1.0356,1.4346,-1.827,2.1026,-2.6705,3.0189,-3.5306,3.9619,5.073,116.7,3,6,1,409.405,0,2,Inactive
-2.1962,1.9229,-2.4932,2.4842,-3.034,3.2636,-3.7607,4.1373,-0.8543,1.3216,-1.7395,2.129,-2.636,3.0267,-3.5379,3.9487,-0.8727,1.1502,-1.7056,2.073,-2.5964,3.007,-3.4985,3.9446,3.753,53.68,2,3,1,313.397,1,0,Inactive
-2.3987,2.3812,-2.604,2.7449,-3.0692,3.4246,-3.7452,4.316,-0.8702,2.4014,-1.7771,2.6753,-2.6941,3.1699,-3.6151,4.0378,-0.9084,1.1474,-1.7697,2.0886,-2.6802,3.0444,-3.5998,4.0043,5.047,62.91,5,4,1,433.426,1,0,Inactive
-2.1962,1.9229,-2.4932,2.4845,-3.034,3.2645,-3.7607,4.1387,-0.8543,1.322,-1.7395,2.13,-2.636,3.028,-3.5379,3.9504,-0.8727,1.15,-1.7056,2.0729,-2.5965,3.0072,-3.4985,3.9451,2.901,62.91,2,4,1,329.396,1,0,Inactive
-2.1962,1.9229,-2.4932,2.4842,-3.034,3.2637,-3.7607,4.1374,-0.8543,1.3217,-1.7395,2.1292,-2.6361,3.0269,-3.5379,3.949,-0.8727,1.1502,-1.7056,2.073,-2.5965,3.0072,-3.4985,3.9448,3.705,53.68,2,3,1,313.397,1,0,Inactive
-2.3987,2.3812,-2.604,2.745,-3.0692,3.4251,-3.7452,4.3167,-0.8702,2.4014,-1.7771,2.6754,-2.6941,3.1706,-3.6151,4.0388,-0.9084,1.1478,-1.7697,2.0893,-2.6802,3.0453,-3.5998,4.0055,5.405,62.91,5,4,1,447.453,1,0,Inactive
-2.3205,2.4071,-2.5852,2.8268,-3.0432,3.558,-3.7024,4.432,-0.8605,2.4014,-1.7608,2.6756,-2.6724,3.1698,-3.5885,4.0307,-0.9525,1.1191,-1.8156,2.0454,-2.7188,2.9917,-3.6321,3.9438,6.132,62.91,6,4,1,461.48,1,0,Inactive
-1.4932,1.9745,-1.8791,2.3813,-2.4159,2.9412,-3.0188,3.607,-0.7337,1.2692,-1.4703,1.9443,-2.2083,2.6966,-2.9471,3.4788,-0.9353,0.9225,-1.6057,1.6581,-2.3155,2.4423,-3.0386,3.242,5.574,74.68,4,5,1,455.639,0,1,Inactive
-2.3984,1.4363,-2.5259,2.0449,-2.7606,2.8023,-3.2149,3.6085,-0.7617,1.2712,-1.5366,1.9651,-2.3167,2.7478,-3.0994,3.563,-0.8904,1.0302,-1.5721,1.8044,-2.3132,2.6214,-3.0789,3.4499,2.017,46.61,2,4,0,309.365,1,0,Inactive
-2.3338,2.3819,-2.6002,2.7476,-3.0595,3.4226,-3.7254,4.3013,-0.8597,2.4012,-1.7597,2.6742,-2.6707,3.1624,-3.586,4.0196,-0.908,1.1258,-1.7637,2.0585,-2.6685,3.005,-3.5825,3.9555,2.836,91.57,2,2,1,313.256,0,0,Inactive
-1.7088,1.2643,-2.0558,1.9859,-2.5795,2.8018,-3.2385,3.64,-0.8098,1.3255,-1.6263,2.0136,-2.445,2.7749,-3.2648,3.5828,-1.0661,1.0692,-1.7694,1.8929,-2.4982,2.7344,-3.254,3.5826,6.961,50.35,7,3,1,435.633,1,1,Inactive
-2.3864,1.598,-2.527,2.354,-2.8639,3.2431,-3.6685,4.1638,-0.867,1.3403,-1.7648,2.1624,-2.6741,3.0723,-3.5886,4.0062,-0.9579,1.172,-1.7748,2.0986,-2.6654,3.0401,-3.574,3.987,2.315,78.79,11,6,1,390.48,0,0,Inactive
-1.5729,2.3733,-1.8953,2.7907,-2.383,3.4093,-3.0469,4.1414,-0.7844,2.4012,-1.5756,2.6715,-2.3716,3.0879,-3.1709,3.7556,-1.0339,1.1007,-1.7776,1.9028,-2.5593,2.7214,-3.351,3.5521,2.38,57.06,2,5,1,362.355,1,1,Inactive
-1.5729,2.3731,-1.8953,2.7891,-2.383,3.4038,-3.0606,4.1302,-0.7785,1.3603,-1.5674,2.0826,-2.3619,2.8752,-3.1599,3.6964,-1.0339,1.1244,-1.7775,1.9195,-2.559,2.7303,-3.3504,3.5525,1.866,57.06,1,5,1,328.803,1,1,Inactive
-2.3834,1.8675,-2.5263,2.3564,-2.8092,3.1094,-3.2808,3.9196,-0.7871,1.2632,-1.5901,1.9468,-2.3982,2.7373,-3.2086,3.5643,-0.9782,1.048,-1.6813,1.8012,-2.4605,2.6317,-3.2576,3.4733,0.951,95.12,8,8,2,376.409,0,1,Inactive
-2.401,1.8672,-2.534,2.3361,-2.7988,3.0239,-3.2575,3.8051,-0.7818,1.2621,-1.5758,1.9389,-2.374,2.7165,-3.1742,3.5306,-0.9773,1.0523,-1.6726,1.8264,-2.4374,2.6451,-3.2179,3.4742,1.727,85.89,8,7,2,360.41,0,1,Inactive
-2.3999,1.8512,-2.5329,2.333,-2.8132,3.0909,-3.3002,3.9289,-0.7985,1.2396,-1.6134,1.9565,-2.4336,2.7936,-3.256,3.6576,-0.9485,0.9821,-1.7132,1.8179,-2.5172,2.6819,-3.3316,3.5543,3.098,134.69,12,9,1,533.643,0,1,Inactive
-2.3831,1.5796,-2.5255,2.3116,-2.8058,3.0973,-3.2781,3.9075,-0.7744,1.2731,-1.571,1.975,-2.3745,2.769,-3.1812,3.5943,-0.8679,1.0337,-1.6388,1.7516,-2.441,2.5823,-3.2482,3.4257,0.914,65.07,4,6,0,329.352,0,0,Inactive
-2.261,1.8509,-2.3873,2.315,-2.6379,3.0064,-3.2281,3.7989,-0.7907,1.237,-1.5941,1.9401,-2.4029,2.7613,-3.2145,3.6112,-0.9477,1.0898,-1.7065,1.8864,-2.5016,2.7192,-3.3058,3.5669,3.83,110.24,10,7,1,486.634,0,1,Inactive
-2.3988,1.8497,-2.5161,2.4296,-2.7328,3.2189,-3.205,4.0478,-0.7986,1.5214,-1.6148,2.1952,-2.4374,2.9437,-3.2633,3.7644,-0.9117,1.432,-1.6907,2.0251,-2.5004,2.8079,-3.3192,3.658,6.136,101.93,7,9,2,512.603,0,2,Inactive
-2.3999,1.851,-2.5329,2.3319,-2.8132,3.0889,-3.3002,3.9261,-0.7985,1.2391,-1.6134,1.9544,-2.4336,2.7904,-3.256,3.6535,-0.9485,0.9808,-1.7132,1.8158,-2.5172,2.6789,-3.3316,3.5504,2.063,109.39,10,9,1,487.549,0,1,Inactive
-1.5742,1.4252,-1.9148,2.1459,-2.4438,2.9522,-3.1009,3.7815,-0.7695,1.2134,-1.5579,1.9272,-2.3525,2.7426,-3.15,3.5808,-0.8715,0.9575,-1.6216,1.7688,-2.402,2.6091,-3.1929,3.4569,2.38,112.57,4,7,3,424.497,0,1,Inactive
-1.4825,1.5354,-1.8666,2.0841,-2.4637,2.7912,-3.193,3.5715,-0.7723,1.2594,-1.5513,1.9467,-2.3335,2.7244,-3.1175,3.5354,-1.0198,1.1125,-1.6637,1.9217,-2.3696,2.7441,-3.1023,3.5731,4.169,78.51,11,6,2,435.568,0,0,Inactive
-1.4544,2.279,-1.9823,2.7362,-2.7293,3.5025,-3.5518,4.3763,-0.7837,2.4019,-1.5852,2.6771,-2.4576,3.2654,-3.3478,4.1813,-1.0489,1.1315,-1.8608,2.0166,-2.7446,2.9442,-3.6403,3.885,3.912,113.06,5,6,2,462.359,0,1,Inactive
-2.3987,1.6283,-2.5265,2.3665,-2.7909,3.2488,-3.5974,4.1713,-0.7798,1.3759,-1.6248,2.229,-2.4951,3.154,-3.3757,4.0983,-1.1097,1.1256,-1.847,2.053,-2.6943,2.9996,-3.5673,3.9527,1.518,121.77,11,6,1,456.568,0,0,Inactive
-1.4644,1.5535,-1.9765,2.1754,-2.7534,2.9787,-3.5644,3.8421,-0.7855,1.3658,-1.5794,2.1589,-2.3766,3.0216,-3.1753,3.9087,-1.0282,1.1195,-1.7983,1.9723,-2.6186,2.8583,-3.4539,3.7571,4.557,118.51,6,6,1,435.549,0,0,Inactive
-2.3824,1.8668,-2.5055,2.4349,-2.7489,3.1988,-3.1928,4,-0.7879,1.2627,-1.592,1.9437,-2.4012,2.7317,-3.2126,3.557,-0.9783,0.9907,-1.683,1.789,-2.4648,2.6195,-3.2643,3.4602,1.27,106.12,8,8,3,364.398,0,1,Inactive
-1.7991,1.6133,-2.1076,2.3298,-2.853,3.193,-3.6862,4.1001,-0.8294,1.3752,-1.7074,2.217,-2.6042,3.1281,-3.5092,4.0593,-0.9947,1.1476,-1.8214,2.0605,-2.7065,2.9951,-3.6082,3.9369,4.595,101.76,10,5,1,494.661,0,0,Inactive
-2.4164,1.8659,-2.5387,2.3297,-2.7704,2.9945,-3.2091,3.7462,-0.7765,1.2611,-1.5611,1.9316,-2.3492,2.697,-3.1392,3.4978,-0.9767,1.0594,-1.6686,1.8487,-2.4274,2.6552,-3.1994,3.4705,2.799,76.66,8,6,2,346.427,0,1,Inactive
-2.418,1.8514,-2.5412,2.3195,-2.7791,3.0218,-3.2535,3.8247,-0.7918,1.2373,-1.5968,1.9411,-2.4073,2.7637,-3.2204,3.6149,-0.9483,1.0629,-1.7094,1.8653,-2.5068,2.6997,-3.3132,3.5499,2.836,100.16,11,8,1,485.577,0,1,Inactive
-1.5359,1.628,-2.0675,2.3656,-2.7908,3.2477,-3.5974,4.1702,-0.7799,1.3758,-1.6248,2.2288,-2.4951,3.1541,-3.3757,4.0986,-1.1097,1.1356,-1.8469,2.0585,-2.6943,3.0047,-3.5673,3.9578,2.239,112.54,9,5,1,460.987,0,0,Inactive
-1.4444,1.5308,-1.9394,2.1021,-2.7552,2.9721,-3.5947,3.885,-0.7796,1.5401,-1.5829,2.3807,-2.3985,3.253,-3.2289,4.1448,-1.0811,1.1886,-1.9106,2.0992,-2.7574,3.0221,-3.6122,3.9496,6.463,103.54,10,5,1,504.656,0,0,Inactive
-2.2495,2.3629,-2.373,2.8242,-2.6129,3.4165,-3.1932,4.0827,-0.7782,2.4013,-1.5699,2.6717,-2.3672,3.0827,-3.1672,3.6819,-1.0727,1.1346,-1.7026,1.9519,-2.4084,2.7858,-3.1549,3.6272,4.453,66.84,8,5,1,415.795,1,1,Inactive
-1.4761,1.4036,-1.882,1.9477,-2.6932,2.7977,-3.5305,3.6719,-0.7762,1.5353,-1.5693,2.3655,-2.3788,3.2203,-3.2026,4.0873,-1.0863,1.1403,-1.9149,1.9685,-2.7583,2.8181,-3.609,3.6815,4.146,83.65,8,5,2,434.989,0,0,Inactive
